Contract_ID,Vendor,Category,Approved_Amount_USD,Invoiced_Amount_USD,Contract_Status,Start_Date,End_Date
C-1338,Oracle,Risk Audit,784797,722951,Active,2023-08-24,2024-08-08
C-1339,SAP,IT Services,351755,384949,Closed,2023-06-07,2024-03-26
C-1340,SAP,Consulting,567592,531777,Active,2023-03-28,2024-09-07
C-1341,EY,Risk Audit,700704,725682,Active,2023-11-22,2024-08-25
C-1342,IBM,Software Licensing,233503,238821,Active,2023-08-31,2024-08-27
C-1343,EY,Risk Audit,885442,810700,Active,2023-08-14,2024-08-03
C-1344,Capgemini,Software Dev,682224,785654,Active (Overrun),2023-10-20,2024-08-23
C-1345,Oracle,IT Services,349586,283831,Active (Overrun),2023-07-17,2024-03-12
C-1346,IBM,Cloud Services,78044,87313,Active (Overrun),2023-05-26,2024-11-25
C-1347,Deloitte,Finance Ops,285694,273725,Active (Overrun),2023-10-22,2024-08-13
C-1348,PwC,Risk Audit,223594,263468,Closed,2023-01-11,2024-06-10
C-1349,Accenture,Consulting,593364,662703,Closed,2023-05-19,2024-08-10
C-1350,SAP,Risk Audit,304957,357264,Active (Overrun),2023-11-29,2024-01-12
C-1351,SAP,Cloud Support,175683,201168,Active,2023-09-10,2024-03-26
C-1352,EY,Consulting,582261,633350,Closed,2023-05-20,2024-04-28
C-1353,SAP,Cloud Services,289814,233437,Active,2023-01-25,2024-12-02
C-1354,Deloitte,Cloud Services,294161,287770,Active,2023-07-29,2024-04-12
C-1355,IBM,Cloud Services,566034,563170,Active,2023-04-04,2024-12-23
C-1356,Microsoft,Finance Ops,688371,585244,Active,2023-06-19,2024-11-24
C-1357,Deloitte,Finance Ops,232119,193961,Active,2023-10-21,2024-11-04
C-1358,Accenture,IT Services,254120,259401,Active,2023-06-22,2024-12-12
C-1359,Microsoft,IT Services,688034,639121,Active,2023-07-26,2024-02-27
C-1360,IBM,Cloud Services,251759,231988,Closed,2023-05-11,2024-08-05
C-1361,Deloitte,Consulting,893735,921844,Active (Overrun),2023-03-13,2024-01-31
C-1362,PwC,Consulting,133705,156336,Active (Overrun),2023-09-21,2024-04-28
C-1363,Globant,Cloud Services,73763,85442,Active,2023-04-11,2024-02-24
C-1364,Globant,Risk Audit,593667,600579,Active (Overrun),2023-12-21,2024-11-02
C-1365,SAP,Cloud Services,345459,372653,Active (Overrun),2023-12-09,2024-09-25
C-1366,IBM,Cloud Services,89182,90085,Active,2023-03-11,2024-08-25
C-1367,Oracle,IT Services,565758,618434,Closed,2023-12-21,2024-12-13
C-1368,EY,Cloud Services,982778,1022101,Active (Overrun),2023-04-30,2024-01-04
C-1369,PwC,Software Licensing,663299,747064,Active,2023-12-28,2024-04-18
C-1370,Globant,Software Licensing,420335,404808,Active (Overrun),2023-01-12,2024-07-16
C-1371,SAP,IT Services,68835,78828,Closed,2023-10-29,2024-01-11
C-1372,PwC,IT Services,464559,389136,Closed,2023-11-18,2024-06-20
C-1373,EY,Software Dev,882596,738496,Active,2023-09-20,2024-06-23
C-1374,EY,Cloud Support,87199,97966,Active (Overrun),2023-09-22,2024-08-08
C-1375,Oracle,IT Services,612931,627165,Active,2023-08-05,2024-02-02
C-1376,Deloitte,Risk Audit,683468,555728,Closed,2023-02-21,2024-01-11
C-1377,Accenture,Risk Audit,336096,400380,Active,2023-10-04,2024-11-08
C-1378,SAP,Cloud Services,867628,926398,Active (Overrun),2023-12-07,2024-06-25
C-1379,Microsoft,Risk Audit,269450,303974,Active (Overrun),2023-12-10,2024-12-03
C-1380,Deloitte,Software Licensing,832336,991361,Active (Overrun),2023-02-02,2024-03-18
C-1381,EY,Software Licensing,812405,726897,Active,2023-01-13,2024-10-19
C-1382,Oracle,ERP Implementation,108948,104111,Active (Overrun),2023-08-04,2024-11-05
C-1383,Microsoft,ERP Implementation,394409,350822,Closed,2023-04-04,2024-11-13
C-1384,SAP,Consulting,806569,954640,Active (Overrun),2023-11-24,2024-04-06
C-1385,Microsoft,Cloud Services,536156,455192,Active,2023-10-14,2024-02-20
C-1386,IBM,Finance Ops,661547,752778,Active (Overrun),2023-10-19,2024-09-02
C-1387,IBM,IT Services,680763,760653,Closed,2023-10-02,2024-09-15
C-1388,SAP,ERP Implementation,689139,719303,Active (Overrun),2023-09-29,2024-08-09
C-1389,Deloitte,Consulting,211920,172869,Active,2023-07-27,2024-08-19
C-1390,SAP,Consulting,881063,1054266,Active (Overrun),2023-05-27,2024-02-02
C-1391,EY,Risk Audit,995095,948163,Active (Overrun),2023-03-09,2024-02-25
C-1392,Capgemini,IT Services,807246,893577,Active (Overrun),2023-02-02,2024-10-15
C-1393,Capgemini,Cloud Support,712835,840667,Active (Overrun),2023-03-02,2024-12-11
C-1394,Deloitte,IT Services,497190,595758,Active (Overrun),2023-10-08,2024-07-01
C-1395,PwC,Risk Audit,207044,167726,Active (Overrun),2023-06-06,2024-08-12
C-1396,IBM,Finance Ops,282943,243067,Active,2023-05-07,2024-04-25
C-1397,Globant,Cloud Support,994496,926190,Active (Overrun),2023-07-29,2024-06-06
C-1398,Accenture,Cloud Services,851186,736132,Closed,2023-01-11,2024-12-27
C-1399,PwC,Cloud Services,440514,368702,Active (Overrun),2023-12-10,2024-04-25
C-1400,Capgemini,Software Licensing,681021,567306,Closed,2023-02-16,2024-03-17
C-1401,PwC,Cloud Services,936987,775978,Closed,2023-09-26,2024-02-28
C-1402,Capgemini,Software Licensing,385132,387456,Active,2023-05-24,2024-08-23
C-1403,PwC,Cloud Support,113598,128189,Closed,2023-05-14,2024-08-08
C-1404,EY,ERP Implementation,62639,69290,Active (Overrun),2023-08-13,2024-10-07
C-1405,Deloitte,Cloud Support,442335,388748,Active,2023-12-20,2024-06-02
C-1406,Oracle,ERP Implementation,882308,772201,Active (Overrun),2023-03-22,2024-12-03
C-1407,IBM,Cloud Support,145061,173415,Active,2023-08-31,2024-01-05
C-1408,Oracle,Cloud Support,308052,324310,Active,2023-07-26,2024-03-21
C-1409,Deloitte,Cloud Support,585051,594374,Closed,2023-06-09,2024-09-20
C-1410,Deloitte,IT Services,868724,759019,Active (Overrun),2023-01-15,2024-09-18
C-1411,Microsoft,Software Dev,999360,1081101,Active,2023-07-15,2024-07-20
C-1412,Accenture,Software Licensing,143924,169211,Active (Overrun),2023-10-22,2024-02-04
C-1413,Globant,Software Licensing,778380,851099,Active,2023-06-17,2024-02-25
C-1414,Capgemini,Finance Ops,107133,124832,Active,2023-01-07,2024-01-10
C-1415,Capgemini,IT Services,968670,919841,Active (Overrun),2023-06-26,2024-03-16
C-1416,Microsoft,Software Licensing,186434,154023,Active (Overrun),2023-01-07,2024-04-21
C-1417,EY,Cloud Support,296384,273566,Closed,2023-05-13,2024-12-13
C-1418,IBM,Consulting,361342,343809,Active (Overrun),2023-09-03,2024-01-31
C-1419,SAP,Cloud Services,686480,693267,Closed,2023-02-07,2024-11-28
C-1420,EY,Consulting,622144,603615,Active,2023-04-30,2024-08-01
C-1421,IBM,ERP Implementation,178965,151528,Closed,2023-07-05,2024-07-08
C-1422,Accenture,Finance Ops,80094,95817,Active (Overrun),2023-04-14,2024-03-14
C-1423,Globant,Cloud Services,967749,984102,Closed,2023-11-02,2024-06-10
C-1424,Oracle,Cloud Support,457329,414055,Closed,2023-04-17,2024-08-08
C-1425,Microsoft,Cloud Services,561377,473776,Active (Overrun),2023-03-18,2024-07-14
C-1426,PwC,Finance Ops,971753,970075,Closed,2023-05-17,2024-03-28
C-1427,EY,ERP Implementation,820808,817353,Active,2023-11-07,2024-02-12
C-1428,SAP,Consulting,545469,623977,Active (Overrun),2023-09-25,2024-05-02
C-1429,Globant,Software Dev,997642,864031,Active (Overrun),2023-06-22,2024-01-19
C-1430,Capgemini,Software Licensing,251357,299635,Active,2023-06-15,2024-05-25
C-1431,Capgemini,Software Dev,374216,366878,Active,2023-12-02,2024-10-28
C-1432,Deloitte,Software Licensing,633350,539852,Active,2023-09-06,2024-11-21
C-1433,Accenture,Software Dev,754015,783756,Closed,2023-08-12,2024-04-29
C-1434,Microsoft,Cloud Support,441922,451208,Active (Overrun),2023-08-11,2024-01-18
C-1435,IBM,IT Services,250853,255695,Active,2023-04-08,2024-07-18
C-1436,Deloitte,IT Services,604260,647766,Active,2023-01-25,2024-03-12
C-1437,Deloitte,Consulting,239017,278600,Active (Overrun),2023-02-15,2024-02-16
C-1438,Capgemini,Risk Audit,304363,323749,Closed,2023-12-18,2024-04-14
C-1439,Capgemini,Software Dev,649129,676355,Active (Overrun),2023-08-05,2024-06-20
C-1440,SAP,Software Licensing,289599,279375,Active,2023-06-30,2024-09-02
C-1441,Capgemini,Finance Ops,348962,303040,Closed,2023-04-01,2024-10-14
C-1442,Capgemini,Cloud Support,347728,357687,Active,2023-01-13,2024-10-24
C-1443,Accenture,Cloud Support,553699,593358,Closed,2023-08-02,2024-06-07
C-1444,Microsoft,Risk Audit,646632,603456,Closed,2023-02-26,2024-09-21
C-1445,Capgemini,Risk Audit,560053,511335,Active (Overrun),2023-09-05,2024-12-21
C-1446,Accenture,Cloud Services,705383,570250,Active,2023-04-05,2024-03-06
C-1447,Oracle,Software Dev,957981,880107,Closed,2023-03-12,2024-02-18
C-1448,Deloitte,Cloud Support,796473,854181,Closed,2023-05-23,2024-07-21
C-1449,Accenture,Cloud Services,814077,677010,Active (Overrun),2023-06-04,2024-08-16
C-1450,IBM,Software Dev,798823,909687,Closed,2023-01-02,2024-07-22
C-1451,Oracle,Cloud Support,536305,480476,Closed,2023-09-15,2024-07-23
C-1452,Globant,Software Licensing,923656,914786,Closed,2023-06-13,2024-03-24
C-1453,Deloitte,Cloud Support,505391,550025,Active,2023-04-30,2024-10-18
C-1454,Capgemini,Software Dev,573431,559563,Closed,2023-11-14,2024-10-27
C-1455,Deloitte,Cloud Services,478596,392105,Active (Overrun),2023-08-23,2024-04-23
C-1456,SAP,ERP Implementation,642065,698204,Closed,2023-07-29,2024-10-18
C-1457,Accenture,Finance Ops,751767,601819,Closed,2023-04-17,2024-11-23
C-1458,Capgemini,Consulting,740343,876218,Active (Overrun),2023-05-15,2024-07-08
C-1459,SAP,Software Licensing,187626,197632,Active,2023-08-26,2024-03-10
C-1460,IBM,Cloud Services,300604,260610,Closed,2023-06-21,2024-05-20
C-1461,Globant,Finance Ops,962897,883856,Active,2023-10-10,2024-12-08
C-1462,EY,Consulting,741197,598550,Closed,2023-04-19,2024-06-21
C-1463,Accenture,Finance Ops,844946,966684,Active,2023-04-23,2024-11-24
C-1464,EY,Risk Audit,585129,670072,Active,2023-12-02,2024-12-12
C-1465,Accenture,Software Dev,980529,979862,Active,2023-08-25,2024-12-27
C-1466,PwC,IT Services,926833,892238,Active,2023-11-11,2024-04-11
C-1467,IBM,Software Licensing,986801,917012,Active,2023-01-01,2024-01-15
C-1468,Capgemini,Cloud Services,303499,357305,Active (Overrun),2023-09-16,2024-08-05
C-1469,SAP,Consulting,347161,344786,Closed,2023-04-27,2024-03-08
C-1470,Oracle,IT Services,633832,629420,Closed,2023-04-20,2024-11-20
C-1471,Accenture,Cloud Services,208002,230493,Active (Overrun),2023-12-16,2024-02-27
C-1472,Deloitte,Cloud Support,71914,74158,Active (Overrun),2023-01-16,2024-05-17
C-1473,Microsoft,IT Services,945911,797421,Active (Overrun),2023-09-07,2024-08-02
C-1474,Capgemini,Risk Audit,198174,228480,Active (Overrun),2023-11-05,2024-10-05
C-1475,PwC,Cloud Services,182922,157172,Closed,2023-04-08,2024-11-15
C-1476,Microsoft,Finance Ops,431197,396872,Active,2023-12-02,2024-03-05
C-1477,Deloitte,Software Dev,654267,654166,Closed,2023-06-02,2024-06-15
C-1478,PwC,Software Dev,219572,184081,Active (Overrun),2023-04-02,2024-12-16
C-1479,Oracle,IT Services,313386,298355,Active (Overrun),2023-09-15,2024-03-29
C-1480,Capgemini,Software Licensing,897853,719220,Closed,2023-04-26,2024-03-06
C-1481,PwC,Software Licensing,75566,67180,Active,2023-02-23,2024-01-22
C-1482,Microsoft,Cloud Services,606150,725632,Closed,2023-01-27,2024-08-26
C-1483,IBM,Cloud Services,916367,770349,Active,2023-09-13,2024-04-24
C-1484,IBM,IT Services,659961,631704,Active (Overrun),2023-03-04,2024-09-14
C-1485,Globant,Consulting,507319,503814,Active,2023-06-11,2024-11-26
C-1486,Deloitte,ERP Implementation,194189,170940,Closed,2023-02-20,2024-05-01
C-1487,Capgemini,Consulting,237099,201876,Active (Overrun),2023-02-28,2024-06-13
C-1488,Capgemini,Software Dev,822476,892965,Active (Overrun),2023-11-18,2024-05-04
C-1489,Globant,Cloud Support,929271,834593,Closed,2023-07-29,2024-05-21
C-1490,IBM,IT Services,890119,983254,Active,2023-03-10,2024-10-06
C-1491,Accenture,Software Dev,749364,780973,Active (Overrun),2023-05-01,2024-02-06
C-1492,EY,Risk Audit,200778,190397,Active,2023-03-11,2024-05-08
C-1493,Accenture,Cloud Support,367624,352587,Active (Overrun),2023-05-30,2024-12-21
C-1494,Microsoft,Software Dev,835626,826904,Active (Overrun),2023-07-04,2024-02-20
C-1495,Accenture,Software Dev,919110,932396,Active,2023-04-09,2024-05-31
C-1496,IBM,Finance Ops,855883,832064,Active (Overrun),2023-06-05,2024-12-04
C-1497,PwC,ERP Implementation,378790,314285,Active,2023-06-09,2024-04-07
C-1498,Deloitte,IT Services,959266,1145691,Active,2023-04-08,2024-02-15
C-1499,SAP,Finance Ops,753958,877861,Active (Overrun),2023-02-27,2024-08-06
C-1500,Accenture,ERP Implementation,491500,530546,Active,2023-05-17,2024-12-13
C-1501,Capgemini,Cloud Services,419417,430029,Closed,2023-04-14,2024-12-21
C-1502,Capgemini,ERP Implementation,213583,196504,Active (Overrun),2023-01-12,2024-05-10
C-1503,PwC,Software Licensing,451976,535273,Active,2023-07-28,2024-08-14
C-1504,Accenture,Software Dev,377180,364363,Closed,2023-03-17,2024-06-02
C-1505,Accenture,Software Licensing,867340,810769,Closed,2023-06-02,2024-03-08
C-1506,Deloitte,Software Licensing,850788,706596,Active,2023-12-29,2024-09-13
C-1507,Microsoft,Cloud Services,660964,623255,Active,2023-03-18,2024-11-01
C-1508,Oracle,Consulting,814607,948029,Active,2023-03-10,2024-01-14
C-1509,SAP,Software Dev,128804,146355,Active,2023-07-10,2024-10-30
C-1510,EY,Cloud Support,883933,1026645,Closed,2023-06-12,2024-01-31
C-1511,Oracle,Risk Audit,294336,240386,Active,2023-04-16,2024-11-02
C-1512,Capgemini,Risk Audit,292714,251255,Active,2023-02-14,2024-04-06
C-1513,Microsoft,Software Dev,51217,48144,Active,2023-03-06,2024-09-08
C-1514,Deloitte,Risk Audit,348496,317193,Closed,2023-05-24,2024-07-18
C-1515,Globant,Cloud Services,894444,962217,Active,2023-04-28,2024-03-24
C-1516,PwC,Software Dev,782698,729742,Closed,2023-07-25,2024-12-15
C-1517,EY,Consulting,327962,391155,Active,2023-05-24,2024-11-28
C-1518,PwC,Finance Ops,144898,146981,Active,2023-01-29,2024-11-22
C-1519,EY,ERP Implementation,226535,270968,Active,2023-04-26,2024-04-11
C-1520,Microsoft,IT Services,305666,335271,Active,2023-03-25,2024-10-03
C-1521,Accenture,Risk Audit,642080,553864,Active (Overrun),2023-05-20,2024-07-09
C-1522,EY,Cloud Services,285862,321109,Active,2023-05-19,2024-10-11
C-1523,Oracle,Cloud Support,852285,973650,Active,2023-09-20,2024-09-06
C-1524,Deloitte,Cloud Support,245968,200966,Active (Overrun),2023-10-08,2024-01-15
C-1525,Globant,Risk Audit,874730,963317,Closed,2023-10-12,2024-04-11
C-1526,Globant,Consulting,943616,833040,Active (Overrun),2023-05-14,2024-05-29
C-1527,Accenture,Cloud Services,73843,63736,Active (Overrun),2023-07-10,2024-12-26
C-1528,Accenture,Consulting,220246,211853,Active,2023-03-28,2024-12-02
C-1529,SAP,Software Dev,989003,1149800,Closed,2023-02-06,2024-06-10
C-1530,IBM,Finance Ops,538355,601627,Active (Overrun),2023-09-13,2024-07-07
C-1531,Accenture,Cloud Support,364180,340185,Closed,2023-08-19,2024-07-03
C-1532,Microsoft,Software Dev,985314,1053048,Active (Overrun),2023-12-19,2024-03-19
C-1533,Microsoft,Finance Ops,475123,549604,Closed,2023-01-10,2024-08-19
C-1534,EY,Risk Audit,628168,656482,Active (Overrun),2023-06-20,2024-04-12
C-1535,SAP,Software Licensing,317366,295882,Closed,2023-12-10,2024-03-06
C-1536,Accenture,ERP Implementation,921826,1038493,Closed,2023-12-08,2024-03-06
C-1537,SAP,Consulting,941970,925277,Closed,2023-05-04,2024-01-08
C-1538,EY,IT Services,127621,132429,Active,2023-11-27,2024-06-15
C-1539,IBM,ERP Implementation,404747,484972,Active,2023-02-21,2024-09-02
C-1540,Accenture,Software Licensing,72275,85573,Active (Overrun),2023-09-06,2024-03-02
C-1541,Globant,Software Dev,229765,229572,Active,2023-08-31,2024-06-28
C-1542,Oracle,Software Licensing,798879,921599,Active (Overrun),2023-06-09,2024-09-25
C-1543,Capgemini,Consulting,908049,1051146,Active (Overrun),2023-09-17,2024-12-30
C-1544,IBM,Consulting,558956,575552,Active (Overrun),2023-12-07,2024-03-08
C-1545,Microsoft,IT Services,540227,464948,Closed,2023-07-13,2024-12-07
C-1546,Deloitte,Finance Ops,66797,79310,Active (Overrun),2023-02-15,2024-04-27
C-1547,Deloitte,ERP Implementation,134418,114531,Closed,2023-03-02,2024-08-30
C-1548,Capgemini,ERP Implementation,656046,768138,Active,2023-06-23,2024-01-17
C-1549,Globant,ERP Implementation,891646,1068364,Active,2023-02-25,2024-10-02
C-1550,EY,Finance Ops,253806,238504,Active (Overrun),2023-09-08,2024-08-02
C-1551,Capgemini,Risk Audit,375134,340690,Active,2023-02-28,2024-05-02
C-1552,EY,Cloud Services,834500,904562,Active,2023-08-30,2024-11-12
C-1553,SAP,Cloud Services,391052,396925,Closed,2023-08-01,2024-07-13
C-1554,SAP,Cloud Services,734615,649049,Closed,2023-04-03,2024-09-26
C-1555,Capgemini,Cloud Support,539948,625645,Active (Overrun),2023-05-09,2024-10-30
C-1556,Oracle,Software Licensing,744340,805370,Closed,2023-05-05,2024-08-25
C-1557,Globant,Consulting,725473,595253,Active (Overrun),2023-12-05,2024-08-16
C-1558,Microsoft,Consulting,664620,544106,Active (Overrun),2023-07-30,2024-04-18
C-1559,Deloitte,Software Dev,824347,965883,Active,2023-11-11,2024-11-16
C-1560,Oracle,Software Licensing,489228,572837,Active (Overrun),2023-09-08,2024-04-10
C-1561,Oracle,ERP Implementation,953218,1053816,Active,2023-05-17,2024-04-09
C-1562,EY,Cloud Support,365341,429564,Active (Overrun),2023-06-18,2024-09-09
C-1563,Oracle,Software Licensing,386365,446838,Closed,2023-01-05,2024-11-05
C-1564,IBM,Cloud Support,789129,757143,Active (Overrun),2023-11-26,2024-09-24
C-1565,SAP,IT Services,765097,727112,Active (Overrun),2023-03-22,2024-02-28
C-1566,Microsoft,Software Dev,358557,392724,Active (Overrun),2023-05-21,2024-10-09
C-1567,SAP,Software Licensing,387997,338892,Active,2023-02-19,2024-03-14
C-1568,PwC,Finance Ops,90117,84213,Active (Overrun),2023-05-31,2024-06-07
C-1569,Accenture,Cloud Support,259909,247915,Active (Overrun),2023-12-29,2024-08-19
C-1570,EY,Consulting,170357,148493,Active (Overrun),2023-09-06,2024-02-11
C-1571,Microsoft,Software Dev,709121,651152,Active (Overrun),2023-11-18,2024-10-05
C-1572,Globant,ERP Implementation,747082,617129,Active,2023-06-21,2024-09-26
C-1573,PwC,Risk Audit,485713,398016,Active,2023-02-16,2024-09-25
C-1574,SAP,Consulting,456825,503620,Closed,2023-07-17,2024-11-22
C-1575,Globant,Cloud Support,855621,875902,Active (Overrun),2023-11-26,2024-01-04
C-1576,Deloitte,ERP Implementation,789484,857154,Closed,2023-03-28,2024-06-04
C-1577,EY,Cloud Support,282698,231760,Closed,2023-07-04,2024-05-31
C-1578,SAP,Software Licensing,736561,828304,Closed,2023-03-13,2024-07-20
C-1579,PwC,Cloud Support,798000,813732,Active (Overrun),2023-01-13,2024-07-23
C-1580,Deloitte,Risk Audit,154653,166422,Active,2023-02-19,2024-03-08
C-1581,PwC,IT Services,676355,675441,Active,2023-07-16,2024-02-22
C-1582,Accenture,Software Dev,580085,626412,Active (Overrun),2023-12-31,2024-04-20
C-1583,PwC,Cloud Support,427289,501391,Closed,2023-06-08,2024-06-05
C-1584,Accenture,Finance Ops,278811,257709,Active,2023-06-19,2024-11-28
C-1585,Globant,Finance Ops,725857,771568,Active,2023-02-14,2024-05-12
C-1586,EY,Finance Ops,137470,143955,Active,2023-01-23,2024-08-03
C-1587,Deloitte,Finance Ops,831897,747862,Active,2023-03-23,2024-12-09
C-1588,Accenture,Consulting,698372,785456,Active,2023-01-12,2024-01-17
C-1589,Capgemini,IT Services,847829,896118,Closed,2023-11-20,2024-04-15
C-1590,Deloitte,Software Licensing,726655,628794,Active,2023-08-28,2024-06-07
C-1591,Oracle,Consulting,381683,369420,Active,2023-01-11,2024-06-06
C-1592,Capgemini,Software Licensing,611655,729218,Closed,2023-03-18,2024-01-28
C-1593,SAP,Software Dev,625584,669005,Active,2023-05-13,2024-10-29
C-1594,IBM,Software Dev,132306,122974,Closed,2023-08-02,2024-12-25
C-1595,Oracle,ERP Implementation,354582,355019,Active (Overrun),2023-12-07,2024-08-31
C-1596,SAP,Consulting,253267,290635,Active (Overrun),2023-10-23,2024-01-08
C-1597,Globant,Software Dev,477737,510213,Active (Overrun),2023-08-27,2024-10-04
C-1598,PwC,Software Dev,815961,978821,Closed,2023-06-21,2024-06-18
C-1599,Deloitte,Risk Audit,715910,801124,Active (Overrun),2024-01-01,2024-12-09
C-1600,SAP,Cloud Support,554726,601411,Active,2023-01-13,2024-10-20
C-1601,Globant,Software Dev,357219,338141,Active,2023-03-07,2024-05-13
C-1602,Capgemini,ERP Implementation,389194,389760,Active (Overrun),2023-10-21,2024-10-18
C-1603,Oracle,ERP Implementation,620509,539999,Closed,2023-11-15,2024-07-30
C-1604,IBM,IT Services,250933,229041,Active (Overrun),2023-08-12,2024-01-06
C-1605,Globant,Software Licensing,377726,339620,Closed,2023-02-26,2024-07-22
C-1606,Microsoft,Consulting,928777,1088156,Closed,2023-02-15,2024-02-27
C-1607,Globant,Software Dev,501567,561524,Active,2023-11-03,2024-08-23
C-1608,Microsoft,Software Dev,434536,516073,Closed,2023-08-06,2024-10-21
C-1609,Globant,Cloud Support,474381,567257,Closed,2023-08-19,2024-10-27
C-1610,EY,ERP Implementation,557695,449555,Active (Overrun),2023-05-01,2024-09-05
C-1611,SAP,Cloud Services,463147,546785,Active,2023-02-10,2024-01-04
C-1612,Microsoft,Risk Audit,601654,563472,Active (Overrun),2023-08-30,2024-12-22
C-1613,Oracle,IT Services,108436,114887,Active (Overrun),2023-11-17,2024-06-01
C-1614,Accenture,Consulting,762788,776588,Active (Overrun),2023-12-13,2024-08-07
C-1615,Capgemini,Finance Ops,997303,1129373,Closed,2023-05-12,2024-11-27
C-1616,EY,Consulting,657596,531190,Active (Overrun),2023-06-30,2024-02-02
C-1617,EY,Cloud Services,127979,136204,Active (Overrun),2023-06-21,2024-04-23
C-1618,Capgemini,Software Licensing,560133,556546,Active (Overrun),2023-11-20,2024-05-04
C-1619,EY,Software Dev,902432,1033550,Closed,2023-09-24,2024-12-08
C-1620,SAP,IT Services,456248,508680,Closed,2023-04-18,2025-01-01
C-1621,Globant,ERP Implementation,702943,827137,Active,2023-12-19,2024-08-09
C-1622,Microsoft,ERP Implementation,550370,514287,Active (Overrun),2023-06-05,2024-11-10
C-1623,Accenture,Consulting,723312,841020,Active (Overrun),2023-12-06,2024-09-17
C-1624,Globant,IT Services,360314,364515,Active (Overrun),2023-02-14,2024-01-11
C-1625,SAP,Cloud Support,196271,219075,Closed,2023-09-14,2024-03-18
C-1626,IBM,Cloud Support,826957,789850,Closed,2023-02-23,2024-09-13
C-1627,EY,Cloud Services,399634,415052,Active,2023-11-06,2024-08-09
C-1628,SAP,Cloud Support,529672,571507,Active,2023-07-01,2024-05-11
C-1629,Oracle,Risk Audit,758806,780224,Active (Overrun),2023-05-07,2024-07-15
C-1630,Deloitte,Software Licensing,776683,725417,Active (Overrun),2023-10-13,2024-10-11
C-1631,Capgemini,Consulting,405648,351403,Closed,2023-06-27,2024-10-23
C-1632,Microsoft,ERP Implementation,951777,852749,Closed,2023-07-29,2024-03-05
C-1633,IBM,ERP Implementation,486843,573989,Closed,2023-12-31,2024-11-07
C-1634,Accenture,Software Licensing,299740,256949,Active (Overrun),2023-02-24,2024-05-15
C-1635,Capgemini,Cloud Support,318741,307252,Closed,2023-11-04,2024-10-27
C-1636,IBM,Cloud Support,831432,713254,Active (Overrun),2023-02-26,2024-10-31
C-1637,SAP,Consulting,142677,135089,Closed,2023-10-14,2024-12-28
C-1638,Microsoft,Risk Audit,111731,98378,Active,2023-03-17,2024-09-10
C-1639,Accenture,Consulting,675133,582555,Active,2023-08-11,2024-03-11
C-1640,IBM,Cloud Support,986308,961316,Active (Overrun),2023-09-17,2024-02-28
C-1641,Accenture,IT Services,884152,838534,Active,2023-10-30,2024-09-10
C-1642,Accenture,Risk Audit,610694,580682,Active (Overrun),2023-02-08,2024-11-19
C-1643,Oracle,Finance Ops,865752,695694,Closed,2023-01-28,2024-10-22
C-1644,Accenture,Finance Ops,956597,826631,Active,2023-11-19,2024-05-07
C-1645,Microsoft,ERP Implementation,526169,431689,Active (Overrun),2023-11-16,2024-12-21
C-1646,Globant,IT Services,714452,729492,Closed,2023-06-02,2024-02-21
C-1647,EY,Cloud Services,856123,715280,Closed,2023-04-22,2024-01-12
C-1648,Capgemini,Software Dev,968342,975539,Active (Overrun),2023-12-10,2024-10-25
C-1649,Microsoft,Software Dev,301874,303219,Active,2023-08-28,2024-07-13
C-1650,Deloitte,Finance Ops,698611,799316,Closed,2023-03-24,2024-12-25
C-1651,SAP,ERP Implementation,98800,89006,Active,2023-09-10,2024-05-28
C-1652,Globant,Risk Audit,516178,431049,Active,2023-12-15,2024-02-16
C-1653,Deloitte,ERP Implementation,195866,218440,Closed,2023-10-13,2024-10-16
C-1654,PwC,Risk Audit,723444,804562,Closed,2023-03-25,2024-03-31
C-1655,Microsoft,ERP Implementation,343453,388260,Active,2023-01-16,2024-07-12
C-1656,Deloitte,IT Services,531343,503089,Closed,2023-10-06,2024-05-04
C-1657,IBM,Finance Ops,634055,524369,Closed,2023-02-16,2024-04-24
C-1658,Accenture,Cloud Support,525478,433173,Active (Overrun),2023-10-15,2024-09-04
C-1659,PwC,Finance Ops,729834,815257,Closed,2023-06-12,2024-09-16
C-1660,SAP,Finance Ops,980213,967344,Active,2023-11-01,2024-11-02
C-1661,Oracle,ERP Implementation,432058,396104,Active,2023-12-26,2024-06-18
C-1662,Globant,Software Licensing,181369,205814,Active (Overrun),2023-05-13,2024-07-10
C-1663,Globant,IT Services,278135,260620,Closed,2023-08-17,2024-06-05
C-1664,PwC,Finance Ops,644290,568012,Closed,2023-10-13,2024-02-18
C-1665,PwC,Cloud Support,822184,744628,Closed,2023-08-06,2024-03-04
C-1666,Oracle,Finance Ops,780981,832406,Active (Overrun),2023-08-25,2024-01-06
C-1667,Microsoft,Software Licensing,342412,311672,Active (Overrun),2023-06-14,2024-05-01
C-1668,SAP,Finance Ops,380842,376595,Active,2023-01-08,2024-01-25
C-1669,Accenture,Cloud Services,865114,719171,Active (Overrun),2023-08-07,2024-05-10
C-1670,Globant,Cloud Support,262692,244764,Closed,2023-10-30,2024-10-13
C-1671,Accenture,Finance Ops,995785,854949,Closed,2023-05-16,2024-07-25
C-1672,PwC,IT Services,75553,86450,Active,2023-03-31,2024-07-27
C-1673,Accenture,Cloud Support,476527,420587,Active (Overrun),2023-12-11,2024-02-15
